start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1768780800,1768867200,2026-01-19T00:00:00+00:00,2026-01-20T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1768867200,1768953600,2026-01-20T00:00:00+00:00,2026-01-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1768953600,1769040000,2026-01-21T00:00:00+00:00,2026-01-22T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769040000,1769126400,2026-01-22T00:00:00+00:00,2026-01-23T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769126400,1769212800,2026-01-23T00:00:00+00:00,2026-01-24T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769212800,1769299200,2026-01-24T00:00:00+00:00,2026-01-25T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769299200,1769385600,2026-01-25T00:00:00+00:00,2026-01-26T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769385600,1769472000,2026-01-26T00:00:00+00:00,2026-01-27T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769472000,1769558400,2026-01-27T00:00:00+00:00,2026-01-28T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769558400,1769644800,2026-01-28T00:00:00+00:00,2026-01-29T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769644800,1769731200,2026-01-29T00:00:00+00:00,2026-01-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769731200,1769817600,2026-01-30T00:00:00+00:00,2026-01-31T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769817600,1769904000,2026-01-31T00:00:00+00:00,2026-02-01T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769904000,1769990400,2026-02-01T00:00:00+00:00,2026-02-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1769990400,1770076800,2026-02-02T00:00:00+00:00,2026-02-03T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770076800,1770163200,2026-02-03T00:00:00+00:00,2026-02-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770163200,1770249600,2026-02-04T00:00:00+00:00,2026-02-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770249600,1770336000,2026-02-05T00:00:00+00:00,2026-02-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770336000,1770422400,2026-02-06T00:00:00+00:00,2026-02-07T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770422400,1770508800,2026-02-07T00:00:00+00:00,2026-02-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770508800,1770595200,2026-02-08T00:00:00+00:00,2026-02-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770595200,1770681600,2026-02-09T00:00:00+00:00,2026-02-10T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770681600,1770768000,2026-02-10T00:00:00+00:00,2026-02-11T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770768000,1770854400,2026-02-11T00:00:00+00:00,2026-02-12T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770854400,1770940800,2026-02-12T00:00:00+00:00,2026-02-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770940800,1771027200,2026-02-13T00:00:00+00:00,2026-02-14T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1771027200,1771113600,2026-02-14T00:00:00+00:00,2026-02-15T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1771113600,1771200000,2026-02-15T00:00:00+00:00,2026-02-16T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1771200000,1771286400,2026-02-16T00:00:00+00:00,2026-02-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1771286400,1771372800,2026-02-17T00:00:00+00:00,2026-02-18T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1771372800,1771459200,2026-02-18T00:00:00+00:00,2026-02-19T00:00:00+00:00,proj_y7GN83cL7OldWn5gvAXcHtXA,1.0,user-wtZPwGhvCVc1MG4yErAtMO7r,key_XarKFsppRDkhq7GK,gpt-4.1-mini-2025-04-14,False,incentivized-tier,733.0,203.0,0.0,733.0,733.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
